
resource_id,uv_id,uv_title,source,resource_type,title,url,language,license,collected_at,download_allowed
R001,IA01,Représentation et raisonnement sur les connaissances,Open Educational Resource (PDF),textbook,Introduction to Logic and Critical Thinking,https://oer.uinsyahada.ac.id/files/original/a0810543cbd9375f5e052f20b2159042.pdf,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R002,IA01,Représentation et raisonnement sur les connaissances,Open Logic Project (PDF),textbook,Open Logic Text (complete),https://builds.openlogicproject.org/open-logic-complete.pdf,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R003,IA01,Représentation et raisonnement sur les connaissances,Open Logic Project (PDF),textbook,Set Theory: An Open Introduction,https://builds.openlogicproject.org/courses/set-theory/settheory-screen.pdf,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R004,IA01,Représentation et raisonnement sur les connaissances,Open Logic Project,textbook,forall x: Calgary – An introduction to formal logic,https://forallx.openlogicproject.org/,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R005,IA01,Représentation et raisonnement sur les connaissances,Pressbooks (University of Wisconsin),textbook,Fundamental Methods of Logic,https://wisconsin.pressbooks.pub/logicfundamentals/,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R006,IA01,Représentation et raisonnement sur les connaissances,W3C,tutorial,Semantic Web Tutorial (W3C Slides),https://www.w3.org/2008/Talks/0421-Beijing-IH/Slides.pdf,en,CC BY,2026-01-12T14:05:22.047801,true
R007,IA01,Représentation et raisonnement sur les connaissances,AI: Foundations of Computational Agents,chapter section,Knowledge Graphs – AI FOC Agents 16.1,https://artint.info/2e/html/ArtInt2e.Ch16.S1.html,en,CC BY-NC-ND 4.0,2026-01-12T14:05:22.047801,true
R008,IA01,Représentation et raisonnement sur les connaissances,AI: Foundations of Computational Agents,chapter section,Classes and Properties – AI FOC Agents 16.2,https://artint.info/2e/html/ArtInt2e.Ch16.S2.html,en,CC BY-NC-ND 4.0,2026-01-12T14:05:22.047801,true
R009,IA01,Représentation et raisonnement sur les connaissances,AI: Foundations of Computational Agents,chapter section,Ontologies and Knowledge Sharing – AI FOC Agents 16.3,https://artint.info/2e/html/ArtInt2e.Ch16.S3.html,en,CC BY-NC-ND 4.0,2026-01-12T14:05:22.047801,true
R010,IA01,Représentation et raisonnement sur les connaissances,AI: Foundations of Computational Agents,chapter subsection,Representations – AI FOC Agents 1.4.2,https://artint.info/html/ArtInt.html#sec14,en,CC BY-NC-ND 2.5,2026-01-12T14:05:22.047801,true
R011,IA01,Représentation et raisonnement sur les connaissances,AI: Foundations of Computational Agents,chapter section,Description Logic – AI FOC Agents 13.3.1,https://artint.info/2e/html/ArtInt2e.Ch13.S3.html,en,CC BY-NC-ND 4.0,2026-01-12T14:05:22.047801,true
R012,IA01,Représentation et raisonnement sur les connaissances,LINCS Project,web page,Linked Data – LINCS LOD Foundations,https://www.lincsproject.ca/linked-open-data/linked-data/,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R013,IA01,Représentation et raisonnement sur les connaissances,LINCS Project,web page,Ontologies – LINCS LOD Foundations,https://www.lincsproject.ca/linked-open-data/ontologies/,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R014,IA01,Représentation et raisonnement sur les connaissances,LINCS Project,web page,SPARQL – LINCS LOD Foundations,https://www.lincsproject.ca/linked-open-data/sparql/,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R015,IA01,Représentation et raisonnement sur les connaissances,LINCS Project,web page,Vocabularies – LINCS LOD Foundations,https://www.lincsproject.ca/linked-open-data/vocabularies/,en,CC BY 4.0,2026-01-12T14:05:22.047801,true
R016,IA01,Représentation et raisonnement sur les connaissances,MIT OpenCourseWare,lecture slides,What is a Knowledge Representation? – MIT 6.871 Lecture,https://ocw.mit.edu/courses/6-871-knowledge-based-application-systems-fall-2005/resources/what-is-a-knowledge-representation/,en,CC BY-NC-SA 4.0,2026-01-12T14:05:22.047801,true
R017,IA01,Représentation et raisonnement sur les connaissances,AI: Foundations of Computational Agents,chapter section,Knowledge Representation – AI FOC Agents 1.4 Knowledge Representation,https://artint.info/2e/html/ArtInt2e.Ch01.S4.html,en,CC BY-NC-ND 4.0,2026-01-12T14:05:22.047801,true
