
uv_id,resource_title,url,provider,type,description,license_name,license_url,download_allowed
LO17,Introduction to Machine Learning (6.036),https://ocw.mit.edu/courses/6-036-introduction-to-machine-learning-fall-2020/,MIT OpenCourseWare,course,"Course introducing principles, algorithms, and applications of machine learning, covering supervised and reinforcement learning concepts such as representation, over‑fitting and generalization",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Introduction to Computational Thinking and Data Science (6.0002),https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/,MIT OpenCourseWare,course,"Course exploring computational thinking and data science; includes lecture videos, slides and assignments to develop data analysis skills",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,"Matrix Methods in Data Analysis, Signal Processing, and Machine Learning (18.065)",https://ocw.mit.edu/courses/18-065-matrix-methods-in-data-analysis-signal-processing-and-machine-learning-fall-2018/,MIT OpenCourseWare,course,"Course covering linear algebra techniques for data analysis, signal processing and machine learning applications",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Problem Set 1: Space Cows Transportation,https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/resources/ps1/,MIT OpenCourseWare,assignment,"Programming assignment providing a zip file with a PDF, text files and Python code for transporting space cows",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Problem Set 2: Fastest Way to Get Around MIT,https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/resources/ps2/,MIT OpenCourseWare,assignment,"Programming assignment with PDF, text and Python files challenging students to find the fastest route around MIT",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Problem Set 3: Robot Simulation,https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/resources/ps3/,MIT OpenCourseWare,assignment,Programming assignment providing a zip archive of PDF and Python files for simulating robots in different settings,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Problem Set 4: Simulating the Spread of Disease and Bacteria Population,https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/resources/ps4/,MIT OpenCourseWare,assignment,Programming assignment containing PDF and Python code to simulate disease spread and bacterial populations,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Data Science: A First Introduction (Textbook),https://datasciencebook.ca/,UBC Data Science,textbook,"Open textbook introducing data science concepts and techniques using R, including data wrangling, visualization and statistical inference",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Data Carpentry Lessons (General),https://datacarpentry.org/lessons/,Data Carpentry,lesson collection,"Domain‑specific workshops teaching data organization, cleaning, management, analysis and visualization; lessons are distributed under CC BY for reuse and adaptation",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,true
LO17,Machine Learning in Python with scikit‑learn (FUN MOOC),https://www.fun-mooc.fr/courses/machine-learning-python-scikit-learn/,FUN‑MOOC,MOOC,"French MOOC covering machine learning techniques using scikit‑learn with videos, readings and exercises",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,true
LO17,From Database to Big Data (FUN MOOC),https://www.fun-mooc.fr/courses/from-database-to-big-data/,FUN‑MOOC,MOOC,Course on database fundamentals and big data concepts for computer science learners,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,true
LO17,Introductory Statistics 2e (OpenStax),https://openstax.org/books/introductory-statistics-2e/pages/1-introduction,OpenStax,textbook,"OpenStax textbook covering introductory statistics topics including sampling methods, frequency tables and statistical analysis",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,true
LO17,Matrix Calculus for Machine Learning and Beyond (18.S096),https://ocw.mit.edu/courses/18-s096-matrix-calculus-for-machine-learning-and-beyond-january-iap-2023/,MIT OpenCourseWare,course,Course presenting matrix calculus techniques and derivative formulas for large‑scale optimization and machine‑learning applications,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,Introduction to Computer Science and Programming in Python (6.0001),https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,MIT OpenCourseWare,course,"Course for students with little or no programming experience, teaching how computation and Python can be used to solve problems",CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,true
LO17,OpenIntro Statistics (Textbook),https://www.openintro.org/book/os/,OpenIntro,textbook,"Open‑source introductory statistics textbook with videos, slides, labs and data sets; widely used for college courses and self‑study",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,true
LO17,Introduction to Modern Statistics (OpenIntro),https://www.openintro.org/book/ims/,OpenIntro,textbook,OpenIntro textbook providing a modern introduction to statistics with emphasis on data science and real‑world examples,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,true
LO17,Data Analysis and Visualization in Python for Ecologists (Data Carpentry),https://datacarpentry.github.io/python-ecology-lesson/,Data Carpentry,lesson,"Hands‑on lesson introducing Python programming for data analysis and visualization using pandas, plotnine and databases; designed for ecologists and beginners",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,true
