
resource_id,uv_id,uv_title,source,resource_type,title,url,language,license,collected_at,download_allowed
R001,SR03,SR03,MIT OpenCourseWare,Course,Distributed Computer Systems Engineering (Course Description),https://ocw.mit.edu/courses/6-824-distributed-computer-systems-engineering-spring-2006/,English,CC BY-NC-SA 4.0,2026-01-12T15:00:00+01:00,true
R002,SR03,SR03,MIT OpenCourseWare,Lecture notes list,Distributed Computer Systems Engineering Lecture Notes,https://ocw.mit.edu/courses/6-824-distributed-computer-systems-engineering-spring-2006/resources/lecture-notes/,English,CC BY-NC-SA 4.0,2026-01-12T15:00:00+01:00,true
R003,SR03,SR03,TU Delft OpenCourseWare,Course,Modern Distributed Systems,https://ocw.tudelft.nl/courses/modern-distributed-systems/,English,CC BY-NC-SA 4.0,2026-01-12T15:00:00+01:00,true
R004,SR03,SR03,MIT OpenCourseWare,Lecture Outline,Fault Tolerance (6.033 Lecture 14 Outline),https://ocw.mit.edu/courses/6-033-computer-system-engineering-spring-2018/resources/lecture-14-fault-tolerance/,English,CC BY-NC-SA 4.0,2026-01-12T15:00:00+01:00,true
R005,SR03,SR03,MIT OpenCourseWare,Lecture Outline,Transactions and Logging (6.033 Lecture 16 Outline),https://ocw.mit.edu/courses/6-033-computer-system-engineering-spring-2018/resources/lecture-16-transactions-and-logging/,English,CC BY-NC-SA 4.0,2026-01-12T15:00:00+01:00,true
R006,SR03,SR03,MIT OpenCourseWare,Lecture Outline,Distributed Transactions and Two‑Phase Commit (6.033 Lecture 18 Outline),https://ocw.mit.edu/courses/6-033-computer-system-engineering-spring-2018/resources/lecture-18-distributed-transactions/,English,CC BY-NC-SA 4.0,2026-01-12T15:00:00+01:00,true
R007,SR03,SR03,OpenStax,Textbook Section,Introduction to Cloud‑Native Applications (Section 12.1),https://openstax.org/books/introduction-computer-science/pages/12-1-introduction-to-cloud-native-applications,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R008,SR03,SR03,OpenStax,Textbook Section,Cloud Deployment Technologies (Section 12.2),https://openstax.org/books/introduction-computer-science/pages/12-2-cloud-based-and-cloud-native-applications-deployment-technologies,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R009,SR03,SR03,OpenStax,Textbook Section,Big Cloud PaaS and IoT (Section 13.3),https://openstax.org/books/introduction-computer-science/pages/13-3-big-cloud-paas-mainstream-capabilities,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R010,SR03,SR03,OpenStax,Textbook Section,Distributed File Systems (Section 6.5),https://openstax.org/books/introduction-computer-science/pages/6-5-file-systems,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R011,SR03,SR03,OpenStax,Textbook Section,Reliability and Security (Section 6.6),https://openstax.org/books/introduction-computer-science/pages/6-6-reliability-and-security,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R012,SR03,SR03,OpenStax,Textbook Section,Processes and Concurrency (Section 6.3),https://openstax.org/books/introduction-computer-science/pages/6-3-processes-and-concurrency,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R013,SR03,SR03,OpenStax,Textbook Section,Parallel Programming Models (Section 4.3),https://openstax.org/books/introduction-computer-science/pages/4-3-parallel-programming-models,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R014,SR03,SR03,OpenStax,Textbook Section,Operating Systems Key Terms (Chapter 6),https://openstax.org/books/introduction-computer-science/pages/6-key-terms,English,CC BY 4.0,2026-01-12T15:00:00+01:00,true
R015,SR03,SR03,Wikipedia,Encyclopedia Article,Distributed computing (Wikipedia),https://en.wikipedia.org/wiki/Distributed_computing,English,CC BY-SA 4.0,2026-01-12T15:00:00+01:00,true
R016,SR03,SR03,Wikipedia,Encyclopedia Article,Scalability (Wikipedia),https://en.wikipedia.org/wiki/Scalability,English,CC BY-SA 4.0,2026-01-12T15:00:00+01:00,true
R017,SR03,SR03,Wikipedia,Encyclopedia Article,Service‑oriented architecture (Wikipedia),https://en.wikipedia.org/wiki/Service-oriented_architecture,English,CC BY-SA 4.0,2026-01-12T15:00:00+01:00,true
