
resource_id,uv_id,uv_title,source,resource_type,title,url,language,license,collected_at,download_allowed
R001,SY02,SY02,Physics 132 Lab Manual (Pressbooks),textbook section,Introduction to Monte Carlo Methods,https://openbooks.library.umass.edu/p132-lab-manual/chapter/introduction-to-mc/,en,CC BY-SA 4.0,2026-01-12T10:00:00+01:00,true
R002,SY02,SY02,Physics 132 Lab Manual (Pressbooks),textbook section,Monte Carlo Error Propagation,https://openbooks.library.umass.edu/p132-lab-manual/chapter/monte-carlo-error-propagation/,en,CC BY-SA 4.0,2026-01-12T10:01:00+01:00,true
R003,SY02,SY02,Physics 132 Lab Manual (Pressbooks),tutorial,Monte Carlo Simulation in Google Sheets,https://openbooks.library.umass.edu/p132-lab-manual/chapter/monte-carlo-simulation-in-google-sheets/,en,CC BY-SA 4.0,2026-01-12T10:02:00+01:00,true
R004,SY02,SY02,Mathematics for Public and Occupational Health Professionals (Pressbooks),textbook section,Markov Chains,https://pressbooks.library.torontomu.ca/pohmath/chapter/markov-chains/,en,CC BY-SA 4.0,2026-01-12T10:03:00+01:00,true
R005,SY02,SY02,Ecosystem Modelling with EwE (Pressbooks),tutorial,Tutorial: Monte Carlo Runs,https://pressbooks.bccampus.ca/ecosimug/chapter/tutorial-monte-carlo-runs/,en,CC BY-NC-SA 4.0,2026-01-12T10:04:00+01:00,true
R006,SY02,SY02,MIT OpenCourseWare,lecture notes,Lecture 16: Markov Processes I,https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/resources/lecture-16-markov-processes-i/,en,CC BY-NC-SA 4.0,2026-01-12T10:05:00+01:00,true
R007,SY02,SY02,MIT OpenCourseWare,lecture notes,Lecture 17: Markov Processes II,https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/resources/lecture-17-markov-processes-ii/,en,CC BY-NC-SA 4.0,2026-01-12T10:06:00+01:00,true
R008,SY02,SY02,OpenStax,textbook section,7.1 The Central Limit Theorem for Sample Means,https://openstax.org/books/introductory-statistics-2e/pages/7-1-the-central-limit-theorem-for-sample-means-averages,en,CC BY 4.0,2026-01-12T10:07:00+01:00,true
R009,SY02,SY02,OpenStax,textbook section,7.2 The Central Limit Theorem for Sums,https://openstax.org/books/introductory-statistics-2e/pages/7-2-the-central-limit-theorem-for-sums,en,CC BY 4.0,2026-01-12T10:08:00+01:00,true
R010,SY02,SY02,OpenStax,textbook section,7.3 Using the Central Limit Theorem,https://openstax.org/books/introductory-statistics-2e/pages/7-3-using-the-central-limit-theorem,en,CC BY 4.0,2026-01-12T10:09:00+01:00,true
R011,SY02,SY02,OpenStax,textbook section,8.1 A Single Population Mean using the Normal Distribution,https://openstax.org/books/introductory-statistics-2e/pages/8-1-a-single-population-mean-using-the-normal-distribution,en,CC BY 4.0,2026-01-12T10:10:00+01:00,true
R012,SY02,SY02,OpenStax,textbook section,8.2 A Single Population Mean using the Student t Distribution,https://openstax.org/books/introductory-statistics-2e/pages/8-2-a-single-population-mean-using-the-student-t-distribution,en,CC BY 4.0,2026-01-12T10:11:00+01:00,true
R013,SY02,SY02,OpenStax,textbook section,9.1 Null and Alternative Hypotheses,https://openstax.org/books/introductory-statistics-2e/pages/9-1-null-and-alternative-hypotheses,en,CC BY 4.0,2026-01-12T10:12:00+01:00,true
R014,SY02,SY02,OpenStax,textbook section,9.2 Outcomes and the Type I and Type II Errors,https://openstax.org/books/introductory-statistics-2e/pages/9-2-outcomes-and-the-type-i-and-type-ii-errors,en,CC BY 4.0,2026-01-12T10:13:00+01:00,true
R015,SY02,SY02,OpenStax,textbook section,9.3 Probability Distributions Needed for Hypothesis Testing,https://openstax.org/books/introductory-statistics-2e/pages/9-3-probability-distributions-needed-for-hypothesis-testing,en,CC BY 4.0,2026-01-12T10:14:00+01:00,true
